period,Battery,Coal,Coal_new,Gas,Gas_new,Hydro,Hydro_new,Nuclear,Other,Other_new,PStorage,Solar,Solar_new,Wind,Wind_new,scs,dummy_existing,dummy_new
2020,0.0,41.395,0.0,1.52722,2.0063152072214323,12.931,2.762,1.8,5.2893,0.0,1.58,2.3015,0.0,2.8099000000000003,0.0,Static Costs,0,0
2025,0.0,41.395,0.0,1.52722,10.516742500000007,12.931,5.642,1.8,5.2893,0.0,1.58,2.3015,0.0,2.8099000000000003,0.0,Static Costs,0,0
2030,0.0,39.795,0.0,1.52722,26.768027138321724,12.931,6.006,1.8,5.2893,0.0,1.58,2.3015,0.0,2.8099000000000003,0.23772289342625855,Static Costs,0,0
2035,0.0,37.895,0.0,1.52722,46.52426903258816,12.931,7.348,1.8,5.2893,0.2,1.58,2.3015,1.2024077094267895,2.8099000000000003,1.9217877392947196,Static Costs,0,0
2040,0.9810543354307129,32.595,0.0,1.52722,73.9189411149857,12.931,9.989,1.8,5.2893,0.22391817932697924,1.58,2.3015,7.153602710586824,2.8099000000000003,8.336630962052885,Static Costs,0,0
2020,0.0,41.395,0.01097454771658566,1.52722,1.44618048956616,12.931,2.972,1.8,5.2893,0.21916984331057876,1.58,2.3015,0.5151277086013367,2.8099000000000003,0.3354937867988294,Existing Tx,0,0
2025,0.0,41.395,0.16329153661493603,1.52722,8.480106968503552,12.931,7.172,1.8,5.2893,0.274461967560269,1.58,2.3015,0.8181896872966109,2.8099000000000003,0.5510562185700008,Existing Tx,0,0
2030,0.0,39.795,0.16329153661493603,1.52722,21.69584734578454,12.931,10.296,1.8,5.2893,0.274461967560269,1.58,2.3015,6.097302320489446,2.8099000000000003,2.993133200322016,Existing Tx,0,0
2035,8.10969282448031,37.895,0.7532552406430364,1.52722,32.85823878453814,12.931,10.873,1.8,5.2893,0.544402671245692,1.58,2.3015,46.97231555239692,2.8099000000000003,9.391223832742536,Existing Tx,0,0
2040,20.861162481712903,32.595,2.384341354746751,1.52722,45.86332692985241,12.931,12.593,1.8,5.2893,0.8167689444855571,1.58,2.3015,78.17711216149141,2.8099000000000003,29.09114231361915,Existing Tx,0,0
2020,0.0,41.395,0.0,1.52722,1.932013503997007,12.931,2.267,1.8,5.2893,0.028639089000867014,1.58,2.3015,0.0015448199335141096,2.8099000000000003,0.11871925601706616,Planned Tx,0,0
2025,0.0,41.395,0.0,1.52722,10.468263503997006,12.931,5.647,1.8,5.2893,0.028639089000867014,1.58,2.3015,0.0015448199335141096,2.8099000000000003,0.11871925601706616,Planned Tx,0,0
2030,0.0,39.795,0.0,1.52722,22.67868483105959,12.931,9.642,1.8,5.2893,0.22863908900086702,1.58,2.3015,4.674403361957109,2.8099000000000003,2.035348639516333,Planned Tx,0,0
2035,6.708411591794892,37.895,0.0,1.52722,35.459586271834695,12.931,10.473,1.8,5.2893,0.5001556591191626,1.58,2.3015,47.85061914924975,2.8099000000000003,9.370711818009797,Planned Tx,0,0
2040,16.64472989074559,32.595,1.6396179731492795,1.52722,51.30519285924122,12.931,12.113,1.8,5.2893,0.7672762932517615,1.58,2.3015,74.80568881004702,2.8099000000000003,29.48140386889753,Planned Tx,0,0
2020,0.0,41.395,0.0,1.52722,1.7729151330564812,12.931,2.522,1.8,5.2893,0.2,1.58,2.3015,0.3325798474189395,2.8099000000000003,0.0,Reference,0,0
2025,0.0,41.395,0.0,1.52722,9.427742500000006,12.931,6.531,1.8,5.2893,0.2,1.58,2.3015,0.3325798474189395,2.8099000000000003,0.0,Reference,0,0
2030,0.0,39.795,0.0,1.52722,22.482608664636285,12.931,9.862,1.8,5.2893,0.2,1.58,2.3015,7.342116276683361,2.8099000000000003,2.0730706829097154,Reference,0,0
2035,6.325743781146936,37.895,0.0,1.52722,36.015463392050044,12.931,10.696,1.8,5.2893,0.2,1.58,2.3015,45.59052317628546,2.8099000000000003,8.6022826144242,Reference,0,0
2040,18.459753629098117,32.595,0.0,1.52722,51.25867257060371,12.931,12.512,1.8,5.2893,0.2,1.58,2.3015,72.98293605609302,2.8099000000000003,29.796530402385667,Reference,0,0
2020,0.0,39.795,0.0,1.52722,1.7304925000000078,12.931,4.112,1.8,5.2893,0.0,1.58,2.3015,0.0,2.8099000000000003,0.0,Coal Ret. 55y,0,0
2025,0.0,37.895,0.0,1.52722,11.624793382157183,12.931,8.031,1.8,5.2893,0.0,1.58,2.3015,0.0,2.8099000000000003,0.02359294274261449,Coal Ret. 55y,0,0
2030,4.394266796806757,32.595,0.0,1.52722,25.03969025108221,12.931,9.942,1.8,5.2893,0.2,1.58,2.3015,20.033636363043268,2.8099000000000003,3.422283616888146,Coal Ret. 55y,0,0
2035,10.0,29.595,0.0,1.52722,39.56265062931872,12.931,10.696,1.8,5.2893,0.2,1.58,2.3015,49.138156741624066,2.8099000000000003,17.230734965450274,Coal Ret. 55y,0,0
2040,26.789979987581994,22.395,0.0,1.52722,51.24862648301215,12.931,12.992,1.8,5.2893,0.2,1.58,2.3015,80.91992358667763,2.8099000000000003,40.99508823524643,Coal Ret. 55y,0,0
2020,0.0,41.395,0.0,1.52722,1.7296783920748124,12.931,2.522,1.8,5.2893,0.2,1.58,2.3015,0.33257984741893976,2.8099000000000003,0.04046238676631573,Coal Ret. 45y,0,0
2025,0.2088723299733739,29.595,0.0,1.52722,19.319896035113654,12.931,8.146,1.8,5.2893,0.2,1.58,2.3015,0.33257984741893976,2.8099000000000003,0.6717930793037916,Coal Ret. 45y,0,0
2030,10.094498710457824,22.395,0.0,1.52722,28.416316115764452,12.931,9.942,1.8,5.2893,0.2,1.58,2.3015,30.771048278353923,2.8099000000000003,12.407421390223126,Coal Ret. 45y,0,0
2035,11.813129630363301,11.043,9.094947017729308e-15,1.52722,54.483150890076445,12.931,11.176,1.8,5.2893,0.2,1.58,2.3015,54.336675898103834,2.8099000000000003,27.93769583648213,Coal Ret. 45y,0,0
2040,31.759224490351723,6.927,9.094947017729308e-15,1.52722,60.47727661639001,12.931,12.992,1.8,5.2893,0.2,1.58,2.3015,87.11245527483472,2.8099000000000003,51.155931146065676,Coal Ret. 45y,0,0
2020,0.0,41.395,0.0,1.52722,1.5469231464128101,12.931,2.522,1.8,5.2893,0.2,1.58,2.3015,0.38948123267585916,2.8099000000000003,0.2708342378520529,Clean 80%,0,0
2025,0.0,41.395,0.0,1.52722,6.738141141129804,12.931,9.163,1.8,5.2893,0.2,1.58,2.3015,0.9116679777618374,2.8099000000000003,0.4608108709616194,Clean 80%,0,0
2030,1.9452793190771516,39.795,0.0,1.52722,18.306226894356737,12.931,11.617,1.8,5.2893,0.2,1.58,2.3015,34.909115279854056,2.8099000000000003,5.881890292528934,Clean 80%,0,0
2035,12.969210461362918,37.895,0.0,1.52722,19.742313173752084,12.931,18.071,1.8,5.2893,0.2,1.58,2.3015,59.73842356677182,2.8099000000000003,26.639750919079894,Clean 80%,0,0
2040,33.64739906789512,32.595,0.0,1.52722,21.68959520973184,12.931,21.759,1.8,5.2893,0.2,1.58,2.3015,91.720958247422,2.8099000000000003,70.87198577898468,Clean 80%,0,0
